0	0	0
0	1	1
0	2	2
0	3	3
0	4	4
0	5	5
0	6	6
0	7	7
0	8	8
0	9	7
1	0	8
1	1	6
1	2	5
1	3	4
1	4	2
1	5	1
1	6	0
1	7	9
1	8	10
1	9	9
2	0	11
2	1	0
2	2	1
2	3	2
2	4	3
2	5	5
2	6	7
2	7	8
2	8	7
2	9	8
3	0	6
3	1	5
3	2	2
3	3	1
3	4	2
3	5	1
3	6	0
3	7	9
3	8	11
3	9	0
4	0	1
4	1	2
4	2	4
4	3	5
4	4	12
4	5	13
4	6	12
4	7	13
4	8	6
4	9	8
5	0	6
5	1	7
5	2	8
5	3	14
5	4	8
5	5	15
5	6	8
5	7	6
5	8	16
5	9	17
6	0	5
6	1	17
6	2	18
6	3	19
6	4	3
6	5	19
6	6	20
6	7	10
6	8	21
6	9	22
7	0	10
7	1	23
7	2	14
7	3	23
7	4	14
7	5	23
7	6	14
7	7	15
7	8	14
7	9	7
8	0	24
8	1	25
8	2	26
8	3	27
8	4	12
8	5	13
8	6	6
8	7	3
8	8	2
8	9	1
9	0	2
9	1	1
9	2	0
9	3	9
9	4	21
9	5	28
9	6	29
9	7	30
9	8	31
9	9	32
10	0	33
10	1	8
10	2	6
10	3	8
10	4	6
10	5	13
10	6	0
10	7	10
10	8	4
10	9	5
11	0	7
11	1	8
11	2	7
11	3	8
11	4	6
11	5	5
11	6	2
11	7	1
11	8	0
11	9	11
12	0	9
12	1	0
12	2	1
12	3	2
12	4	4
12	5	5
12	6	7
12	7	8
12	8	2
12	9	4
13	0	5
13	1	7
13	2	8
13	3	6
13	4	3
13	5	2
13	6	1
13	7	2
13	8	0
13	9	11
14	0	10
14	1	34
14	2	22
14	3	10
14	4	22
14	5	35
14	6	21
14	7	34
14	8	36
14	9	37
15	0	38
15	1	39
15	2	40
15	3	41
15	4	42
15	5	43
15	6	44
15	7	45
15	8	46
15	9	47
16	0	48
16	1	49
16	2	50
16	3	51
16	4	52
16	5	53
16	6	54
16	7	55
16	8	56
16	9	57
17	0	58
17	1	32
17	2	31
17	3	30
17	4	29
17	5	28
17	6	59
17	7	60
17	8	59
17	9	61
18	0	62
18	1	61
18	2	62
18	3	61
18	4	62
18	5	61
18	6	60
